,Date,Tag_No,Recapture,PanCov_Gel_Result_Final,lon,lat,PanCoV_Lineage
1,7/27/22,201,No,Negative,-72.70126393,41.25403346,Negative
2,7/27/22,202,No,Negative,-72.70133979,41.25359422,Negative
3,7/27/22,203,No,Negative,-72.70193801,41.25378324,Negative
4,7/27/22,204,No,Negative,-72.7017901,41.25359268,Negative
5,7/27/22,205,No,Negative,-72.70218607,41.25433983,Negative
6,7/27/22,206,No,Negative,-72.69969344,41.25303069,Negative
7,7/27/22,207,No,Negative,-72.69977457,41.25235163,Negative
8,7/27/22,208,No,Negative,-72.70003075,41.25294495,Negative
9,7/27/22,209,No,Negative,-72.6994824,41.2528113,Negative
10,7/27/22,210,No,Negative,-72.69948066,41.25239118,Negative
11,7/27/22,211,No,Negative,-72.69806713,41.25249752,Negative
12,7/27/22,212,No,Negative,-72.6977356,41.25262365,Negative
13,7/27/22,213,No,Negative,-72.69859394,41.25276673,Negative
14,7/27/22,214,No,Negative,-72.69894405,41.25246645,Negative
15,7/27/22,215,No,Negative,-72.69926022,41.25230678,Negative
16,7/27/22,216,No,Positive,-72.69900461,41.25254817,Positive (PCoV1)
17,7/27/22,217,No,Negative,-72.69980147,41.25179574,Negative
18,8/18/22,476,No,Negative,-72.68538602,41.26425579,Negative
19,7/27/22,219,No,Positive,-72.69991627,41.25126893,Positive (PCoV1)
20,7/27/22,218,No,Negative,-72.69963105,41.25233435,Negative
21,8/9/22,404,No,Negative,-72.69696727,41.26754361,Negative
22,7/27/22,220,No,Negative,-72.6992482,41.25172657,Negative
23,7/27/22,221,No,Negative,-72.69993489,41.25153137,Negative
24,7/27/22,222,No,Negative,-72.69953081,41.25166277,Negative
25,7/27/22,225,No,Positive,-72.70206962,41.25178344,Positive (PCoV1)
26,8/9/22,406,No,Negative,-72.69506267,41.25766168,Negative
27,7/27/22,223,No,Negative,-72.70198637,41.25104115,Negative
28,7/27/22,224,No,Negative,-72.7015449,41.25104418,Negative
29,7/27/22,226,No,Negative,-72.70199716,41.2509542,Negative
30,7/27/22,227,No,Negative,-72.70128769,41.25105362,Negative
31,7/29/22,327,No,Negative,-72.63884456,41.30918458,Negative
32,7/27/22,228,No,Negative,-72.70191767,41.24963305,Negative
33,7/27/22,229,No,Negative,-72.70171165,41.24986785,Negative
34,7/27/22,230,No,Negative,-72.70215603,41.2497511,Negative
35,8/19/22,302,Yes,Negative,-72.68767046,41.29022011,Negative
36,7/27/22,231,No,Negative,-72.70291047,41.25035888,Negative
37,7/27/22,232,No,Negative,-72.70306568,41.25079881,Negative
38,7/27/22,233,No,Negative,-72.7033932,41.25074646,Negative
39,7/27/22,234,No,Negative,-72.70258658,41.25025186,Negative
40,7/27/22,235,No,Negative,-72.70321507,41.2503556,Negative
41,7/27/22,236,No,Negative,-72.70339755,41.24996862,Negative
42,7/27/22,237,No,Negative,-72.67485801,41.28892841,Negative
43,7/27/22,238,No,Negative,-72.67457188,41.28922521,Negative
